[2025-08-01 22:27:55,627: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:27:55,637: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:27:55,661: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:27:55,674: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:27:55,694: INFO: stage_02_data_validation: Error at stage Name : Data Validation]
[2025-08-01 22:27:55,706: INFO: main: exceptions must derive from BaseException]
[2025-08-01 22:29:28,314: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:29:28,314: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:29:28,314: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:29:28,314: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:29:34,927: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:29:34,927: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:29:34,927: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:29:34,927: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:29:34,927: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:29:34,927: INFO: main: 'ConfigurationManager' object has no attribute 'get_data_validation_config']
[2025-08-01 22:30:07,202: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:30:07,202: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:30:07,202: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:30:07,217: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:30:11,689: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:30:11,736: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:30:11,736: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:30:11,736: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:30:11,736: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:30:11,736: INFO: main: cannot access local variable 'config' where it is not associated with a value]
[2025-08-01 22:30:59,889: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-01 22:30:59,889: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:30:59,889: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:30:59,904: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:31:03,468: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-01 22:31:03,468: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-01 22:31:03,468: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-01 22:31:03,468: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-01 22:31:03,468: INFO: common: Created Directory at : artifacts]
[2025-08-01 22:31:03,468: INFO: common: Created Directory at : artifacts/data_validation]
[2025-08-01 22:31:03,468: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-02 12:05:17,097: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-02 12:05:17,112: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-02 12:05:17,112: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-02 12:05:17,112: INFO: common: Created Directory at : artifacts]
[2025-08-02 12:05:20,546: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-02 12:05:20,546: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-02 12:05:20,546: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-02 12:05:20,546: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-02 12:05:20,546: INFO: common: Created Directory at : artifacts]
[2025-08-02 12:05:20,546: INFO: common: Created Directory at : artifacts/data_validation]
[2025-08-02 12:05:20,546: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-02 12:07:44,414: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-02 12:07:44,414: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-02 12:07:44,414: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-02 12:07:44,414: INFO: common: Created Directory at : artifacts]
[2025-08-02 12:07:45,346: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-02 12:07:45,346: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-02 12:07:45,346: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-02 12:07:45,346: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-02 12:07:45,346: INFO: common: Created Directory at : artifacts]
[2025-08-02 12:07:45,346: INFO: common: Created Directory at : artifacts/data_validation]
[2025-08-02 12:07:45,362: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
[2025-08-02 12:11:21,808: INFO: main: >>>>>>>>>> Stage : Data Ingestion Started <<<<<<<<<<]
[2025-08-02 12:11:21,808: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-02 12:11:21,808: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-02 12:11:21,808: INFO: common: Created Directory at : artifacts]
[2025-08-02 12:11:22,935: INFO: main: >>>>>>>>>> Stage : Data Ingestion Completed Successfully <<<<<<<<<<]
[2025-08-02 12:11:22,935: INFO: main: >>>>>>>>>> Stage : Data Validation Started <<<<<<<<<<]
[2025-08-02 12:11:22,951: INFO: common: yamal file : Config\config.yaml loaded sucessfully]
[2025-08-02 12:11:22,951: INFO: common: yamal file : params.yaml loaded sucessfully]
[2025-08-02 12:11:22,951: INFO: common: Created Directory at : artifacts]
[2025-08-02 12:11:22,951: INFO: common: Created Directory at : artifacts/data_validation]
[2025-08-02 12:11:22,951: INFO: main: >>>>>>>>>> Stage : Data Validation Completed Successfully <<<<<<<<<<]
